"ppn","school","class","nom_like","SUS_1","SUS_2","SUS_3","SUS_4","SUS_5","SUS_6","SUS_7","SUS_8","group","cond_name","1_SELF_2easy40","1_SELF_6easy40","1_SELF_10easy40","1_SELF_2hard90","1_SELF_6hard90","1_SELF_10hard90","1_CLIMATE_2easy40","1_CLIMATE_6easy40","1_CLIMATE_10easy40","1_CLIMATE_2hard90","1_CLIMATE_6hard90","1_CLIMATE_10hard90","1_OTHERS_2easy40","1_OTHERS_6easy40","1_OTHERS_10easy40","1_OTHERS_2hard90","1_OTHERS_6hard90","1_OTHERS_10hard90","2_SELF_2easy40","2_SELF_6easy40","2_SELF_10easy40","2_SELF_2hard90","2_SELF_6hard90","2_SELF_10hard90","2_CLIMATE_2easy40","2_CLIMATE_6easy40","2_CLIMATE_10easy40","2_CLIMATE_2hard90","2_CLIMATE_6hard90","2_CLIMATE_10hard90","2_OTHERS_2easy40","2_OTHERS_6easy40","2_OTHERS_10easy40","2_OTHERS_2hard90","2_OTHERS_6hard90","2_OTHERS_10hard90"
120,2,3,"114",5,3,5,4,5,4,5,2,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1
121,2,3,"118,131,135,136",5,5,3,5,4,2,3,3,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,2,3,"118",3,3,1,3,1,1,1,1,2,"neg_social_norm",1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
125,2,3,"127",2,1,2,2,1,1,3,1,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,2,3,"115,132",2,2,2,2,1,2,2,1,3,"control",1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
128,2,3,"121,134,135,136",3,3,4,4,4,5,5,3,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
132,2,3,"115,126,127",2,3,5,4,5,3,5,4,1,"pos_social_norm",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
133,2,3,"117,122,123,127,129",3,4,4,5,4,5,4,4,2,"neg_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
134,2,3,"119,124,131,136",3,3,4,3,4,3,3,3,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,2,4,"142,147,153,154",2,3,2,3,2,1,2,1,3,"control",1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
140,2,4,"141,145",2,4,2,4,2,4,4,3,3,"control",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,2,4,"138,142,143,145,150",2,4,1,3,1,2,1,2,3,"control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,2,4,"137,143,152,153,154",2,2,3,4,4,3,4,3,3,"control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,2,4,NA,3,2,1,4,2,2,4,2,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,2,4,"137,154",3,2,3,2,4,5,3,4,3,"control",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,2,4,"138,140,141,143,149",NA,NA,NA,NA,NA,NA,NA,NA,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,2,4,"137,150",3,3,3,3,3,3,3,1,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
154,2,4,"137,147",2,3,2,3,2,4,3,2,2,"neg_social_norm",1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1
159,2,5,"156,162,167,169,183",2,3,2,4,3,1,2,2,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,2,5,"162,169",1,1,1,1,1,1,2,1,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,2,5,"178",1,1,1,1,1,1,1,1,3,"control",1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1
167,2,5,"159,165,170,177,178",3,4,3,4,2,2,3,1,3,"control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,2,5,"156,159,162,175",1,1,2,2,4,3,2,3,3,"control",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,2,5,"158,164,167,177,178",3,4,3,4,3,2,2,2,1,"pos_social_norm",1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172,2,5,"161,176,179",3,4,3,5,3,3,4,3,3,"control",1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,2,5,"163,166,180",3,3,2,3,3,3,3,3,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,2,5,"162,166,169,175,182",2,3,2,4,2,2,2,1,3,"control",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,2,5,"159,162,169,174",2,3,2,1,2,3,1,1,2,"neg_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,2,5,"164,167,170,174,178",2,5,4,5,5,4,5,1,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,2,5,"161",5,4,5,3,5,5,5,5,2,"neg_social_norm",1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
181,2,5,"157,160,171,176,181",2,2,2,3,3,2,3,2,2,"neg_social_norm",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184,2,5,"165",1,1,1,1,1,1,1,1,1,"pos_social_norm",1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
188,3,8,"193,194,195,196,198",3,4,3,3,3,2,4,3,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192,3,8,"199,202,203,205,209",2,3,1,5,1,3,2,3,3,"control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201,3,8,"187,190,197,204,210",3,3,1,1,2,2,1,1,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218,3,9,"231",5,5,4,5,4,5,5,3,3,"control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,3,9,"218,222,224,235,240",2,4,3,5,3,5,3,5,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221,3,9,"218,223,225,249",3,5,1,5,1,3,2,1,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2
222,3,9,"219,234,241",3,3,4,4,3,3,4,3,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
223,3,9,NA,4,5,1,3,1,2,4,5,3,"control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
224,3,9,"218,222,230,239,240",2,1,1,1,1,1,1,1,1,"pos_social_norm",1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
225,3,9,"218,222,226,229,240",5,4,2,4,3,5,4,3,3,"control",2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2
229,3,9,"223,226,234",3,5,3,1,3,3,3,1,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
230,3,9,"218,222,227,229,234",2,3,2,2,2,2,3,3,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
233,3,9,"243",2,2,2,4,2,2,2,5,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
235,3,9,"219,224,235,239,240",2,2,1,3,2,1,1,2,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1
236,3,9,"237,238",2,4,3,4,3,3,3,3,1,"pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
237,3,9,"233,235,241,243",2,3,3,4,2,2,1,2,2,"neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
238,3,9,"238",4,3,3,3,3,3,3,3,1,"pos_social_norm",2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
239,3,9,"218,222,235,250",2,3,2,3,2,3,2,2,2,"neg_social_norm",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240,3,9,"219,222,224,235,239",2,2,1,4,2,3,3,1,3,"control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
